solar 1.354000000000000e+03
albedo 3.499999940395355e-01
planet 2.215000000000000e+02
useTimeVaryAlbIR 0
useTimeVarySolar 0
DiffuseSolarFlux 0.000000000000000e+00
UseTimeVaryDiffuseSolar 0
DiffuseSkyIRFlux 0.000000000000000e+00
UseTimeVaryDiffuseSkyIR 0
Period 5.676977936918032e+03
FullOrbit 1
IsTerrestrial 0
IsFmh 0
45
     Time,    mean,   true, Illum       Sun Vector              Planet Vector    Orbit Radius
        0,    0.00,    0.00 sun,   < 0.000,-1.000,-0.000>, < 0.000,-0.000, 1.000>,  1.078
  473.081,   30.00,   30.00 sun,   < 0.000,-1.000,-0.000>, < 0.000, 0.000, 1.000>,  1.078
  946.163,   60.00,   60.00 sun,   <-0.000,-1.000,-0.000>, < 0.000, 0.000, 1.000>,  1.078
  1419.24,   90.00,   90.00 sun,   <-0.000,-1.000,-0.000>, <-0.000,-0.000, 1.000>,  1.078
  1892.33,  120.00,  120.00 sun,   <-0.000,-1.000,-0.000>, < 0.000,-0.000, 1.000>,  1.078
  2365.41,  150.00,  150.00 sun,   <-0.000,-1.000, 0.000>, < 0.000, 0.000, 1.000>,  1.078
  2838.49,  180.00,  180.00 sun,   <-0.000,-1.000, 0.000>, < 0.000, 0.000, 1.000>,  1.078
  3311.57,  210.00,  210.00 sun,   <-0.000,-1.000, 0.000>, < 0.000,-0.000, 1.000>,  1.078
  3784.65,  240.00,  240.00 sun,   < 0.000,-1.000, 0.000>, < 0.000, 0.000, 1.000>,  1.078
  4257.73,  270.00,  270.00 sun,   < 0.000,-1.000, 0.000>, < 0.000, 0.000, 1.000>,  1.078
  4730.81,  300.00,  300.00 sun,   < 0.000,-1.000, 0.000>, < 0.000, 0.000, 1.000>,  1.078
   5203.9,  330.00,  330.00 sun,   < 0.000,-1.000,-0.000>, < 0.000,-0.000, 1.000>,  1.078
  5676.98,  360.00,  360.00 sun,   < 0.000,-1.000,-0.000>, <-0.000,-0.000, 1.000>,  1.078

Time,    mean,   true,  speed,   normalize velocity vector
        0,    0.00,    0.00  7.613, < 1.000, 0.000, 0.000>, 
  473.081,   30.00,   30.00  7.613, < 1.000, 0.000, 0.000>, 
  946.163,   60.00,   60.00  7.613, < 1.000, 0.000, 0.000>, 
  1419.24,   90.00,   90.00  7.613, < 1.000,-0.000, 0.000>, 
  1892.33,  120.00,  120.00  7.613, < 1.000,-0.000,-0.000>, 
  2365.41,  150.00,  150.00  7.613, < 1.000,-0.000, 0.000>, 
  2838.49,  180.00,  180.00  7.613, < 1.000,-0.000, 0.000>, 
  3311.57,  210.00,  210.00  7.613, < 1.000, 0.000,-0.000>, 
  3784.65,  240.00,  240.00  7.613, < 1.000, 0.000, 0.000>, 
  4257.73,  270.00,  270.00  7.613, < 1.000, 0.000, 0.000>, 
  4730.81,  300.00,  300.00  7.613, < 1.000, 0.000, 0.000>, 
   5203.9,  330.00,  330.00  7.613, < 1.000, 0.000, 0.000>, 
  5676.98,  360.00,  360.00  7.613, < 1.000, 0.000, 0.000>, 

Celestial coordinates:
Time,    mean,   true,   X,   Y,   Z
        0,    0.00,    0.00,   1.8251e-10,  -5.5134e-10,      -6878.1, 
  473.081,   30.00,   30.00,   2.4931e-10,       3439.1,      -5956.6, 
  946.163,   60.00,   60.00,   2.4931e-10,       5956.6,      -3439.1, 
  1419.24,   90.00,   90.00,   1.8251e-10,       6878.1,   -7.335e-10, 
  1892.33,  120.00,  120.00,   6.6802e-11,       5956.6,       3439.1, 
  2365.41,  150.00,  150.00,  -6.6802e-11,       3439.1,       5956.6, 
  2838.49,  180.00,  180.00,  -1.8251e-10,   9.1567e-10,       6878.1, 
  3311.57,  210.00,  210.00,  -2.4931e-10,      -3439.1,       5956.6, 
  3784.65,  240.00,  240.00,  -2.4931e-10,      -5956.6,       3439.1, 
  4257.73,  270.00,  270.00,  -1.8251e-10,      -6878.1,   1.1024e-09, 
  4730.81,  300.00,  300.00,  -6.6802e-11,      -5956.6,      -3439.1, 
   5203.9,  330.00,  330.00,   6.6802e-11,      -3439.1,      -5956.6, 
  5676.98,  360.00,  360.00,   1.8251e-10,    -1.28e-09,      -6878.1, 
